,id_participante,id_mensaje,enviado,tipo,subtipo,recibido,clase,recibido_limpio,recibido_corregido,recibido_corregido_sin_emoticones,recibido_corregido_significado_emoticones,recibido_corregido_significado_emoticones_sin_tildes,recibido_corregido_significado_emoticones_sin_stop_words,recibido_corregido_significado_emoticones_sin_tildes_sin_stop_words,recibido_corregido_significado_emoticones_sin_stop_words_lematizada,recibido_corregido_significado_emoticones_sin_tildes_sin_stop_words_lematizada,recibido_corregido_significado_emoticones_sin_stop_words_stemetizada,recibido_corregido_significado_emoticones_sin_tildes_sin_stop_words_stemetizada
659,175,692, ¿Tenés controlados tus valores de azúcar en sangre? Consulta y controlate periódicamente con el médico de tu centro de salud.,educativo,glicemia,👍👍,agradecimiento,👍👍,👍👍, em_pulgar_hacia_arriba  em_pulgar_hacia_arriba ,,,,,,,,
660,176,693, Para que la DIABETES esté bien controlada tenés que tener un valor de hemoglobina glicosilada de alrededor de 7. ¿Conoces cuál es tu valor de hemoglobina glicosilada ?,educativo,glicemia,Si . Resultado 19/9  ..6.6,respuesta a consejo o pregunta,si resultado 19 9 6 6,si resultado 19 9 6 6,si resultado 19 9 6 6,si resultado 19 9 6 6,si resultado 19 9 6 6,si resultado 19 9 6 6,si resultado 19 9 6 6,si resultar 19 9 6 6,si resultar 19 9 6 6,si result 19 9 6 6,si result 19 9 6 6
661,177,694,¡Te damos la bienvenida! Recibirás un mensaje semanal con consejos para cuidarte y mejorar tu salud. Podés dejar de recibir estos mensajes enviando 'BAJA' a este número.,bienvenida,,SÍ quiero recibirlos,optin,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí querer recibir él,si querer recibir él,si quier recib,si quier recib
662,177,695, La DIABETES es una enfermedad que dura toda la vida (crónica). La falta de insulina o la dificultad para utilizarla hace que el azúcar de los alimentos aumente y se acumule en la sangre (azúcar alta en sangre).,educativo,,Gracias por la info!!,agradecimiento,gracias por la info ,gracias por la info ,gracias por la info ,gracias por la info,gracias por la info,gracias info,gracias info,gracias info,gracias info,graci info,graci info
663,177,696, El tratamiento para la DIABETES dura toda la vida. Acostumbrarse a hacer el tratamiento todos los días te ayudará a que vivas más y mejor.,educativo,,Gracias,agradecimiento,gracias,gracias,gracias,gracias,gracias,gracias,gracias,gracias,gracias,graci,graci
664,178,697,¡Te damos la bienvenida! Recibirás un mensaje semanal con consejos para cuidarte y mejorar tu salud. Podés dejar de recibir estos mensajes enviando 'BAJA' a este número.,bienvenida,,SÍ quiero recibirlos,optin,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí querer recibir él,si querer recibir él,si quier recib,si quier recib
665,178,698,Hemos llegado al final de nuestro programa de mensajes. Recordá que siempre contás con el apoyo del equipo de salud de tu centro.,final,,👍,agradecimiento,👍,👍, em_pulgar_hacia_arriba ,,,,,,,,
666,179,699,¡Te damos la bienvenida! Recibirás un mensaje semanal con consejos para cuidarte y mejorar tu salud. Podés dejar de recibir estos mensajes enviando 'BAJA' a este número.,bienvenida,,SÍ quiero recibirlos,optin,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí querer recibir él,si querer recibir él,si quier recib,si quier recib
667,179,700,¡Te damos la bienvenida! Recibirás un mensaje semanal con consejos para cuidarte y mejorar tu salud. Podés dejar de recibir estos mensajes enviando 'BAJA' a este número.,bienvenida,,Muchas gracias,agradecimiento,muchas gracias,muchas gracias,muchas gracias,muchas gracias,muchas gracias,muchas gracias,muchas gracias,mucho gracia,mucho gracia,much graci,much graci
668,180,702,¡Te damos la bienvenida! Recibirás un mensaje semanal con consejos para cuidarte y mejorar tu salud. Podés dejar de recibir estos mensajes enviando 'BAJA' a este número.,bienvenida,,SÍ quiero recibirlos,optin,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí querer recibir él,si querer recibir él,si quier recib,si quier recib
669,180,703," La tentación de comer alimentos con grasa y dulces puede ser muy fuerte, pero recuerda que es importante estar bien.",educativo,,👍🏻,agradecimiento,👍🏻,👍🏻, em_pulgar_hacia_arriba  ,,,,,,,,
670,180,704," ¿Sabías que un plato saludable incluye hidratos de carbono (que están en el arroz o las lentejas), verduras y carnes?",educativo,,👍🏻,agradecimiento,👍🏻,👍🏻, em_pulgar_hacia_arriba  ,,,,,,,,
671,180,705," ¿Sabías que si bajas de peso vas a mejorar su salud? Te va a bajar el azúcar en la sangre, la presión arterial y también el colesterol.",educativo,,👍🏻,agradecimiento,👍🏻,👍🏻, em_pulgar_hacia_arriba  ,,,,,,,,
672,180,706," Si tenes DIABETES, es importante que tu presión arterial no sea mayor a ""14/9"". Así evitarás tener problemas en el corazón y en los riñones.",educativo,,👍🏻,agradecimiento,👍🏻,👍🏻, em_pulgar_hacia_arriba  ,,,,,,,,
673,180,707," La única forma que tenemos de saber si nuestra presión arterial está bien, es tomándonos la presión. ¿Te tomaste la presión ultimamente?",educativo,,👍🏻,agradecimiento,👍🏻,👍🏻, em_pulgar_hacia_arriba  ,,,,,,,,
674,180,708, La DIABETES a veces es silenciosa. Algunas personas no tienen síntomas y no se dan cuenta de que su azúcar está alta. ¿Te mediste el azúcar últimamente?,educativo,,👍🏻,agradecimiento,👍🏻,👍🏻, em_pulgar_hacia_arriba  ,,,,,,,,
675,180,709," ¿Cuándo fue la última vez que viste al médico? Si pasaron más de 3 meses desde la última visita, pedi un turno.",educativo,,👍🏻,agradecimiento,👍🏻,👍🏻, em_pulgar_hacia_arriba  ,,,,,,,,
676,180,710," En la visita con el médico, habla los temas que son importantes para estar bien. (ej: qué análisis tenes que hacerte o cómo tomar los medicamentos)",educativo,,👍🏻,agradecimiento,👍🏻,👍🏻, em_pulgar_hacia_arriba  ,,,,,,,,
677,180,711, ¿Sabías que cuidar los pies es muy importante para las personas con DIABETES? Recuerda lavar y revisar sus pies todos los días.,educativo,,👌🏻,respuesta a consejo o pregunta,👌🏻,👌🏻, em_señal_de_aprobación_con_la_mano  ,,,,,,,,
678,180,712," Si tenes alguna lesión o lastimadura en el pie, consulta al médico de tu centro de salud.",educativo,,👍🏻,agradecimiento,👍🏻,👍🏻, em_pulgar_hacia_arriba  ,,,,,,,,
679,180,713, Evita caminar sin zapatos porque se pueden producir heridas en los pies. Las personas con DIABETES tienen los pies más sensibles. ¡Cuídelos!,educativo,,👍🏻,agradecimiento,👍🏻,👍🏻, em_pulgar_hacia_arriba  ,,,,,,,,
680,180,714, Algunas personas que tienen DIABETES pueden sentirse tristes o abatidas por la enfermedad. Si te sentis así háblalo con tu familia y con tu médico.,educativo,,👍🏻,agradecimiento,👍🏻,👍🏻, em_pulgar_hacia_arriba  ,,,,,,,,
681,180,715, ¿Estás estresado o preocupado? Haciendo actividad física 30 minutos al día vas a cuidar tu DIABETES y te vas a sentir más relajado y tranquilo.,educativo,,👍🏻,agradecimiento,👍🏻,👍🏻, em_pulgar_hacia_arriba  ,,,,,,,,
682,180,716," Haciendo actividad física al menos 30 minutos al día te va a bajar el azúcar, la presión y vas evitar enfermedades.",educativo,,👍🏻,agradecimiento,👍🏻,👍🏻, em_pulgar_hacia_arriba  ,,,,,,,,
683,180,717," La tentación de comer alimentos con grasa y dulces puede ser muy fuerte, pero recuerda que es importante estar bien.",educativo,,👍🏻,agradecimiento,👍🏻,👍🏻, em_pulgar_hacia_arriba  ,,,,,,,,
684,180,718, ¿Cuánto tiempo pasas mirando tele? Para ser una persona activa sólo necesita 30 minutos al día de actividad física!,educativo,,👍🏻,agradecimiento,👍🏻,👍🏻, em_pulgar_hacia_arriba  ,,,,,,,,
685,180,719," Los medicamentos que te da el médico, para la DIABETES, la presión y el colesterol, ayudan a que tu corazón esté bien.",educativo,,👍🏻,agradecimiento,👍🏻,👍🏻, em_pulgar_hacia_arriba  ,,,,,,,,
686,180,720, ¿Tenés controlados tus valores de azúcar en sangre? Consulta y controlate periódicamente con el médico de tu centro de salud.,educativo,glicemia,👍🏻,agradecimiento,👍🏻,👍🏻, em_pulgar_hacia_arriba  ,,,,,,,,
687,181,721," Cuida tu Diabetes comiendo frutas y verduras en la merienda en lugar de facturas, bizcochos, tortas y galletitas.",educativo,,Muchísima grasias Por tomáatse ese tiempo y mandarlos esos mensajes 😘🙋,agradecimiento,muchísima grasias por tomáatse ese tiempo y mandarlos esos mensajes 😘🙋,muchísima gracias por tomáatse ese tiempo y mandarlos esos mensajes 😘🙋,muchísima gracias por tomáatse ese tiempo y mandarlos esos mensajes  em_cara_lanzando_un_beso  em_persona_con_la_mano_levantada ,muchísima gracias por tomáatse ese tiempo y mandarlos esos mensajes,muchisima gracias por tomaatse ese tiempo y mandarlos esos mensajes,muchísima gracias tomáatse tiempo mandarlos mensajes,muchisima gracias tomaatse tiempo mandarlos mensajes,muchísimo gracias tomáatse tiempo mandarlo mensaje,muchisima gracias tomaatse tiempo mandarlo mensaje,muchisim graci tomaats tiemp mand mensaj,muchisim graci tomaats tiemp mand mensaj
688,182,722,¡Te damos la bienvenida! Recibirás un mensaje semanal con consejos para cuidarte y mejorar tu salud. Podés dejar de recibir estos mensajes enviando 'BAJA' a este número.,bienvenida,,SÍ quiero recibirlos,optin,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí querer recibir él,si querer recibir él,si quier recib,si quier recib
689,182,723,¡Te damos la bienvenida! Recibirás un mensaje semanal con consejos para cuidarte y mejorar tu salud. Podés dejar de recibir estos mensajes enviando 'BAJA' a este número.,bienvenida,,Gracias,agradecimiento,gracias,gracias,gracias,gracias,gracias,gracias,gracias,gracias,gracias,graci,graci
690,183,724," Planifica hacer actividad física o el ejercicio que más te guste. Te vas a divertir y además te va a ayudar a bajar la presión, el colesterol y el azúcar.",educativo,,Yo estoy. Bien  mecontrolo  tengo  90,respuesta a consejo o pregunta,yo estoy bien mecontrolo tengo 90,yo estoy bien mecontrolo tengo 90,yo estoy bien mecontrolo tengo 90,yo estoy bien mecontrolo tengo 90,yo estoy bien mecontrolo tengo 90,bien mecontrolo tengo 90,bien mecontrolo tengo 90,bien mecontrolo tener 90,bien mecontrolo tener 90,bien mecontrol teng 90,bien mecontrol teng 90
691,184,725,¡Te damos la bienvenida! Recibirás un mensaje semanal con consejos para cuidarte y mejorar tu salud. Podés dejar de recibir estos mensajes enviando 'BAJA' a este número.,bienvenida,,SÍ quiero recibirlos,optin,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí querer recibir él,si querer recibir él,si quier recib,si quier recib
692,184,726, ¿Sabías que los medicamentos para la DIABETES y la insulina se entregan gratis para las personas que no tienen obra social?,educativo,,hola buen día si muchas gracias  por sus mensajes y consejos,agradecimiento,hola buen día si muchas gracias por sus mensajes y consejos,hola buen día si muchas gracias por sus mensajes y consejos,hola buen día si muchas gracias por sus mensajes y consejos,hola buen día si muchas gracias por sus mensajes y consejos,hola buen dia si muchas gracias por sus mensajes y consejos,hola buen día si muchas gracias mensajes consejos,hola buen dia si muchas gracias mensajes consejos,holar buen día si mucho gracia mensaje consejo,holar buen diar si mucho gracia mensaje consejo,hol buen dia si much graci mensaj consej,hol buen dia si much graci mensaj consej
693,184,727, ¿Sabías que los medicamentos para la DIABETES y la insulina se entregan gratis para las personas que no tienen obra social?,educativo,,bueno gracias,agradecimiento,bueno gracias,bueno gracias,bueno gracias,bueno gracias,bueno gracias,bueno gracias,bueno gracias,bueno gracias,bueno gracias,buen graci,buen graci
694,184,728, Las complicaciones que causa la DIABETES (como el infarto y la ceguera) pueden evitarse. ¿Cómo? Cuidándose. Chárlalo con tu médico.,educativo,,hola buen día gracias por el concejo,agradecimiento,hola buen día gracias por el concejo,hola buen día gracias por el consejo,hola buen día gracias por el consejo,hola buen día gracias por el consejo,hola buen dia gracias por el consejo,hola buen día gracias consejo,hola buen dia gracias consejo,holar buen día gracias consejo,holar buen diar gracias consejo,hol buen dia graci consej,hol buen dia graci consej
695,184,729, Si aprendes a cuidarte vas a estar mejor! Los talleres de DIABETES que se realizan en los centros de salud son de mucha ayuda. Acércate a tu centro de salud.,educativo,,hola buen dia muchas gracias por su mensaje,agradecimiento,hola buen dia muchas gracias por su mensaje,hola buen día muchas gracias por su mensaje,hola buen día muchas gracias por su mensaje,hola buen día muchas gracias por su mensaje,hola buen dia muchas gracias por su mensaje,hola buen día muchas gracias mensaje,hola buen dia muchas gracias mensaje,holar buen día mucho gracia mensaje,holar buar diar mucho gracia mensaje,hol buen dia much graci mensaj,hol buen dia much graci mensaj
696,184,730, ¿Sabías que los médicos de los centros de salud se capacitaron para que recibas una mejor atención?,educativo,,no sabía gracias por sus mensajes,respuesta a consejo o pregunta,no sabía gracias por sus mensajes,no sabía gracias por sus mensajes,no sabía gracias por sus mensajes,no sabía gracias por sus mensajes,no sabia gracias por sus mensajes,no sabía gracias mensajes,no sabia gracias mensajes,no saber gracia mensaje,no sabio gracia mensaje,no sab graci mensaj,no sabi graci mensaj
697,184,731," Si tenés DIABETES o azúcar en sangre alta, es importante un control con tu médico cada 3 meses en su centro de salud. Así vas a estar bien.",educativo,,buen día muchas gracias por sus mensajes,agradecimiento,buen día muchas gracias por sus mensajes,buen día muchas gracias por sus mensajes,buen día muchas gracias por sus mensajes,buen día muchas gracias por sus mensajes,buen dia muchas gracias por sus mensajes,buen día muchas gracias mensajes,buen dia muchas gracias mensajes,buen día mucho gracia mensaje,buen diar mucho gracia mensaje,buen dia much graci mensaj,buen dia much graci mensaj
698,184,732, Si sos diabético tenés que hacerte un fondo de ojo todos los años. ¿Cuándo fue la última vez que visitaste al oculista?,educativo,,hola gracias por su mensaje,agradecimiento,hola gracias por su mensaje,hola gracias por su mensaje,hola gracias por su mensaje,hola gracias por su mensaje,hola gracias por su mensaje,hola gracias mensaje,hola gracias mensaje,holar gracia mensaje,holar gracia mensaje,hol graci mensaj,hol graci mensaj
699,184,733, Evita las gaseosas y los jugos artificiales porque aumentan el azúcar en sangre. Tu cuerp ote lo va a agradecer y te vas a sentir mejor.,educativo,,gracias por sus consejos,agradecimiento,gracias por sus consejos,gracias por sus consejos,gracias por sus consejos,gracias por sus consejos,gracias por sus consejos,gracias consejos,gracias consejos,gracias consejo,gracias consejo,graci consej,graci consej
700,184,734," La tentación de comer alimentos con grasa y dulces puede ser muy fuerte, pero recuerda que es importante estar bien.",educativo,,hola buen día gracias por sus consejos,agradecimiento,hola buen día gracias por sus consejos,hola buen día gracias por sus consejos,hola buen día gracias por sus consejos,hola buen día gracias por sus consejos,hola buen dia gracias por sus consejos,hola buen día gracias consejos,hola buen dia gracias consejos,holar buen día graciar consejo,holar buen diar gracia consejo,hol buen dia graci consej,hol buen dia graci consej
